Index,Word,log freq,nr. of tokens,tokens,word score
319,defended,7.715123603632105,2,def_ended,-21.106014251708984
320,defender,9.105868350379472,2,def_ender,-17.701995849609375
321,defied,6.655440350367647,2,def_ied,-20.623390197753903
322,delivered,8.877939834725023,2,del_ivered,-15.192665100097656
323,dentist,8.31581113188354,3,d_ent_ist,-19.02046203613281
324,depicted,6.988413181999592,2,dep_icted,-17.712467193603516
325,deprecated,6.60934924316738,2,dep_recated,-15.072574615478516
326,dermatologist,6.838405200847344,3,der_mat_ologist,-21.926734924316406
327,desk,9.42124938562205,2,des_k,-16.70751953125
328,detective,7.497761700622568,2,det_ective,-15.003517150878906
329,detested,6.988413181999592,2,det_ested,-20.313480377197266
330,devastated,6.643789733147672,3,dev_ast_ated,-19.955612182617188
331,devoured,7.0967213784947605,2,dev_oured,-21.354248046875
332,dietitian,6.826545223556594,4,d_iet_it_ian,-20.83275032043457
333,digger,7.897668150726906,2,dig_ger,-19.3671989440918
334,dinner,9.74665828850311,2,d_inner,-17.8251953125
335,diplomat,9.834887461043872,3,di_plom_at,-19.60523796081543
336,director,10.267887581025692,1,director,-14.48554229736328
337,disappointed,7.939515260662406,2,dis_appointed,-17.91305160522461
338,disciplined,6.7912214627261855,3,dis_cipl_ined,-20.46660041809082
339,discouraged,7.832807516524864,3,disc_our_aged,-20.472702026367188
340,discovered,9.288226910633254,2,disc_overed,-16.323631286621094
341,discredited,7.170888478512505,2,disc_redited,-19.318828582763672
342,disdained,6.709304340258298,3,dis_d_ained,-25.17470932006836
343,disease,11.07652681009214,3,d_ise_ase,-18.78327178955078
344,disgusted,7.0317412587631285,3,dis_g_usted,-19.724102020263672
345,disillusioned,6.559615237493242,3,dis_illusion_ed,-20.50399398803711
346,disobeyed,6.663132695990803,3,dis_ob_eyed,-22.78961181640625
347,disparaged,6.461468176353717,3,dis_par_aged,-22.271976470947266
348,displeased,7.190676034332207,3,dis_ple_ased,-21.35459899902344
349,dissuaded,6.413458957167357,4,d_iss_u_aded,-23.717737197875977
350,distributor,8.037543185118697,3,dist_ribut_or,-16.744861602783203
351,distrusted,6.625392368007956,3,dist_r_usted,-24.51492691040039
352,ditch,9.165970424240244,2,d_itch,-18.693077087402344
353,ditched,6.432940092739179,2,dit_ched,-25.131336212158203
354,diva,10.102502332271744,2,div_a,-18.16454315185547
355,diver,11.536798229381784,2,d_iver,-18.40814971923828
356,doctor,10.231603544216687,1,doctor,-15.517372131347656
357,dodged,6.218600119691729,3,d_od_ged,-20.04847717285156
358,domestic,10.13915238440401,2,dom_estic,-15.890052795410156
359,donna,9.073374516903025,2,d_onna,-17.557418823242188
360,donned,6.255750041753367,2,don_ned,-20.04394149780273
361,donor,9.20029003612268,2,don_or,-17.390365600585938
362,door,11.011571509662051,1,door,-14.671470642089844
363,draftsman,7.173958319756794,3,draft_s_man,-25.653770446777344
364,dragged,6.577861357721047,2,dr_agged,-19.006126403808597
365,dramatist,7.893572073504902,4,d_ram_at_ist,-23.63307380676269
366,drank,7.7458682297922685,2,dr_ank,-19.37450408935547
367,dreaded,7.217443431696533,3,d_read_ed,-20.73727798461914
368,dressmaker,7.171656822768514,2,dress_maker,-21.735958099365234
369,driven,7.688913336864796,1,driven,-16.25263214111328
370,driver,8.87640491500694,1,driver,-14.52129364013672
