word,nr. of tokens,tokens,word score
cured,1,cured,-10.304909706115723
cures,2,cure_##s,-11.141891479492188
curiae,3,cu_##ria_##e,-19.49478530883789
curiosity,1,curiosity,-11.815181732177734
curious,1,curious,-11.481894493103027
curiously,1,curiously,-14.866767883300781
curled,1,curled,-13.137601852416992
curls,1,curls,-14.957188606262207
curly,1,curly,-13.99202823638916
currant,3,cu_##rra_##nt,-17.56588077545166
currency,1,currency,-11.924602508544922
current,1,current,-11.367508888244629
currently,1,currently,-12.924371719360352
currents,1,currents,-13.811272621154785
curriculum,1,curriculum,-15.095141410827637
curse,1,curse,-9.949150085449219
cursed,1,cursed,-9.66378402709961
curses,2,curse_##s,-11.287003517150879
cursing,1,cursing,-14.083847999572754
cursory,3,cu_##rs_##ory,-16.16512107849121
curt,2,cu_##rt,-13.20431137084961
curtail,3,cu_##rta_##il,-17.24723243713379
curtailed,3,cu_##rta_##iled,-16.72928237915039
curtain,1,curtain,-12.258560180664062
curtains,1,curtains,-14.448204040527344
curtness,3,cu_##rt_##ness,-15.732139587402344
curve,1,curve,-13.080810546875
curved,1,curved,-13.224040985107422
curves,1,curves,-15.689204216003418
curving,1,curving,-15.317611694335938
cury,2,cu_##ry,-16.956110954284668
cushion,1,cushion,-11.519715309143066
cushioning,2,cushion_##ing,-14.403227806091309
cushions,2,cushion_##s,-13.426894187927246
cushman,3,cu_##sh_##man,-21.603904724121094
cusp,2,cu_##sp,-14.467849731445312
custodial,3,cu_##sto_##dial,-17.86890745162964
custodian,3,cu_##sto_##dian,-16.645711421966553
custody,1,custody,-10.730669021606445
custom,1,custom,-10.586219787597656
customary,1,customary,-13.683822631835938
customer,1,customer,-11.746015548706055
customers,1,customers,-12.163883209228516
customs,1,customs,-12.058860778808594
cut,1,cut,-10.006662368774414
cutoff,2,cut_##off,-13.701571464538574
cuts,1,cuts,-14.062230110168457
cutting,1,cutting,-13.199849128723145
cuttings,2,cutting_##s,-17.108850479125977
cycle,1,cycle,-11.4846830368042
cycles,1,cycles,-14.325623512268066
cyclist,1,cyclist,-17.151859283447266
cylinder,1,cylinder,-15.137561798095703
cylinders,1,cylinders,-16.11337661743164
cylindrical,1,cylindrical,-14.891359329223633
cynical,3,c_##yn_##ical,-15.182904243469238
