word,nr. of tokens,tokens,word score
extolled,3,ext_oll_ed,-27.924994468688965
extortionist,3,ext_ortion_ist,-29.82606029510498
failed,1,failed,-17.845123291015625
fairy,2,f_airy,-22.221915245056152
fan,1,fan,-18.805809020996094
farmed,2,f_armed,-20.207783699035645
farmer,2,far_mer,-24.097773551940918
father,1,father,-18.505674362182617
faucet,3,f_auc_et,-29.470117568969727
favored,2,f_avored,-23.98416042327881
feared,2,f_eared,-23.20084285736084
fed,1,fed,-16.69865608215332
fedora,2,fed_ora,-24.767967224121094
felled,2,f_elled,-22.812081336975098
felon,3,f_el_on,-23.36074924468994
fieldworker,2,field_worker,-25.980070114135742
fighter,1,fighter,-17.265613555908203
filed,2,f_iled,-22.937392234802246
filet,2,file_t,-21.87007713317871
filmmaker,3,fil_mm_aker,-32.93918800354004
financier,3,fin_anc_ier,-31.619153022766113
finished,1,finished,-16.798423767089844
fired,1,fired,-16.788665771484375
firefighter,2,fire_fighter,-23.170804977416992
first,1,first,-17.0969295501709
fisherman,3,f_isher_man,-25.75387191772461
fixed,1,fixed,-20.57367706298828
flag,1,flag,-14.528951644897461
flattered,2,fl_attered,-23.961413383483887
flight-attendant,4,flight_-_att_endant,-39.32983207702637
flora,2,fl_ora,-20.855968475341797
florist,3,fl_or_ist,-25.332441329956055
flustered,3,fl_ust_ered,-29.04939365386963
fool,2,f_ool,-22.63227081298828
fooled,3,f_ool_ed,-27.502361297607422
football,1,football,-14.852473258972168
foreigner,2,foreign_er,-21.330592155456543
foreman,2,fore_man,-18.577054023742676
forger,2,for_ger,-18.470887184143066
forgot,2,for_got,-24.60761070251465
forgotten,2,for_gotten,-25.023576736450195
form,1,form,-18.690383911132812
fortune-teller,4,fortune_-_te_ller,-27.02048110961914
found,1,found,-18.190326690673828
frenchman,3,f_rench_man,-25.917311668395996
freshman,2,fresh_man,-21.769977569580078
friend,1,friend,-19.538570404052734
frightened,3,f_right_ened,-29.23417854309082
fund,1,fund,-16.094497680664062
funded,1,funded,-15.854360580444336
funeral,2,fun_eral,-24.344776153564453
game,1,game,-14.614246368408203
gangster,2,gang_ster,-28.280778884887695
garbled,2,gar_bled,-24.31800937652588
gardener,2,gard_ener,-24.418594360351562
gave,2,g_ave,-20.17506980895996
general,1,general,-18.084861755371094
geneticist,3,gen_etic_ist,-29.633728981018066
genius,2,gen_ius,-22.025696754455566
geologist,2,ge_ologist,-25.729690551757812
ghost,1,ghost,-20.895427703857422
giraffe,3,g_ir_affe,-29.018842697143555
girl,1,girl,-16.865327835083008
girlfriend,1,girlfriend,-18.805831909179688
given,1,given,-17.961305618286133
gnome,2,gn_ome,-23.10549259185791
go-between,3,go_-_between,-17.34183692932129
goaded,2,g_oaded,-25.30220603942871
goalkeeper,2,goal_keeper,-25.147794723510742
gold,1,gold,-16.343149185180664
governed,2,govern_ed,-20.14216899871826
governess,2,govern_ess,-24.341124534606934
governor,2,govern_or,-19.219779014587402
grain,1,grain,-20.87123680114746
graph,1,graph,-16.390546798706055
greeted,3,g_reet_ed,-28.983119010925293
grilled,2,gr_illed,-26.155980110168457
grocer,2,gro_cer,-21.133692741394043
groundskeeper,2,grounds_keeper,-27.02191734313965
groupie,2,group_ie,-23.389033317565918
guaranteed,3,gu_arant_eed,-32.53916358947754
guarantor,3,gu_arant_or,-30.119906425476074
guard,1,guard,-13.835811614990234
guest,2,gu_est,-23.53980541229248
guide,1,guide,-16.92007827758789
gun,1,gun,-18.629512786865234
gunsmith,2,gun_smith,-25.970303535461426
gymnast,3,gy_mn_ast,-37.70812797546387
hacker,2,h_acker,-20.235852241516113
hailed,2,h_ailed,-18.070720672607422
hairdresser,3,hair_dress_er,-34.34814405441284
hairstylist,4,ha_irst_yl_ist,-37.49870586395264
handcuffed,3,hand_c_uffed,-32.34945821762085
handyman,3,hand_y_man,-26.37894058227539
harassed,2,har_assed,-22.048925399780273
hassled,3,h_ass_led,-29.739944458007812
hated,2,h_ated,-16.77274799346924
hatter,2,h_atter,-20.361726760864258
head,1,head,-14.847375869750977
headmaster,2,head_master,-26.144749641418457
hedonist,2,hedon_ist,-24.65825843811035
heir,2,he_ir,-20.00927448272705
helped,2,hel_ped,-27.327043533325195
helper,2,hel_per,-25.029536247253418
hero,1,hero,-17.870763778686523
hid,1,hid,-17.02397346496582
hidden,1,hidden,-16.972671508789062
hijacker,3,h_ij_acker,-29.768406867980957
hired,2,h_ired,-16.019639015197754
historian,2,hist_orian,-23.345081329345703
hit,1,hit,-16.137344360351562
